TIME_PERIOD;GEO;AGE;SEX;neu;old;edge;diff;TIMESTAMP
2017-W22;CH011;Y_GE90;F;23;22;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W34;CH011;Y85T89;M;11;10;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W37;CH021;Y_GE90;M;23;22;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W37;CH040;Y85T89;M;15;14;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W39;CH011;Y75T79;M; 6; 5;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W39;CH040;Y50T54;M; 5; 4;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W40;CH061;Y85T89;M; 7; 6;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W41;CH070;Y_GE90;F;14;13;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W43;CH070;Y45T49;F; 1; 0;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W45;CH070;Y85T89;M; 6; 5;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W46;CH013;Y60T64;M; 5; 4;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W47;CH061;Y80T84;M; 3; 2;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W48;CH040;Y85T89;M;19;18;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W49;CH033;Y80T84;M; 7; 6;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W50;CH013;Y75T79;M; 3; 2;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W50;CH033;Y45T49;M; 1; 0;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W50;CH070;Y70T74;F; 1; 0;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W51;CH013;Y85T89;F; 6; 5;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W51;CH033;Y85T89;M;13;12;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W52;CH013;Y35T39;F; 2; 1;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W52;CH040;Y35T39;M; 3; 2;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2019-W52;CH040;Y80T84;M;25;24;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2020-W01;CH033;Y85T89;F; 8; 7;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2020-W01;CH040;Y60T64;M; 4; 3;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2020-W02;CH055;Y55T59;M; 5; 4;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2020-W02;CH063;Y75T79;M; 1; 0;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2020-W03;CH013;Y70T74;M; 6; 5;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
2020-W03;CH021;Y70T74;F; 8; 7;2020-W18to2020-W15; 1;2020-05-16T11:57:13Z
