TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2020-W16;CH;_T;T;P;1507
2020-W16;CH011;_T;T;P; 152
2020-W16;CH021;_T;T;P; 179
2020-W16;CH040;_T;T;P; 230
2020-W16;CH070;_T;T;P;  97
2020-W17;CH;_T;T;P;1308
2020-W17;CH011;_T;T;P; 137
2020-W17;CH021;_T;T;P; 168
2020-W17;CH040;_T;T;P; 180
2020-W17;CH070;_T;T;P;  74
2020-W18;CH;_T;T;P;1155
2020-W18;CH011;_T;T;P; 108
2020-W18;CH021;_T;T;P; 162
2020-W18;CH040;_T;T;P; 196
2020-W18;CH070;_T;T;P;  54
2020-W19;CH;_T;T;P;1082
2020-W19;CH011;_T;T;P;  74
2020-W19;CH021;_T;T;P; 157
2020-W19;CH040;_T;T;P; 180
2020-W19;CH070;_T;T;P;  73
2020-W20;CH;_T;T;P;1042
2020-W20;CH011;_T;T;P;  75
2020-W20;CH021;_T;T;P; 168
2020-W20;CH040;_T;T;P; 170
2020-W20;CH070;_T;T;P;  61
2020-W21;CH;_T;T;P;1084
2020-W21;CH011;_T;T;P;  82
2020-W21;CH021;_T;T;P; 152
2020-W21;CH040;_T;T;P; 175
2020-W21;CH070;_T;T;P;  58
2020-W22;CH;_T;T;P; 941
2020-W22;CH011;_T;T;P;  43
2020-W22;CH021;_T;T;P; 141
2020-W22;CH040;_T;T;P; 183
2020-W22;CH070;_T;T;P;  39
2020-W23;CH;_T;T;P;1002
2020-W23;CH011;_T;T;P;  41
2020-W23;CH021;_T;T;P; 157
2020-W23;CH040;_T;T;P; 166
2020-W23;CH070;_T;T;P;  45
2020-W24;CH;_T;T;P; 990
2020-W24;CH011;_T;T;P;  38
2020-W24;CH021;_T;T;P; 151
2020-W24;CH040;_T;T;P; 167
2020-W24;CH070;_T;T;P;  51
2020-W25;CH;_T;T;P; 978
2020-W25;CH011;_T;T;P;  26
2020-W25;CH021;_T;T;P; 166
2020-W25;CH040;_T;T;P; 160
2020-W25;CH070;_T;T;P;  48
2020-W26;CH;_T;T;P;1020
2020-W26;CH011;_T;T;P;  41
2020-W26;CH021;_T;T;P; 152
2020-W26;CH040;_T;T;P; 156
2020-W26;CH070;_T;T;P;  50
2020-W27;CH;_T;T;P; 996
2020-W27;CH011;_T;T;P;  22
2020-W27;CH021;_T;T;P; 154
2020-W27;CH040;_T;T;P; 176
2020-W27;CH070;_T;T;P;  53
2020-W28;CH;_T;T;P;1003
2020-W28;CH011;_T;T;P;  29
2020-W28;CH021;_T;T;P; 150
2020-W28;CH040;_T;T;P; 165
2020-W28;CH070;_T;T;P;  46
2020-W29;CH;_T;T;P; 972
2020-W29;CH011;_T;T;P;  19
2020-W29;CH021;_T;T;P; 145
2020-W29;CH040;_T;T;P; 163
2020-W29;CH070;_T;T;P;  49
2020-W30;CH;_T;T;P; 973
2020-W30;CH011;_T;T;P;  23
2020-W30;CH021;_T;T;P; 171
2020-W30;CH040;_T;T;P; 173
2020-W30;CH070;_T;T;P;  47
2020-W31;CH;_T;T;P;1092
2020-W31;CH011;_T;T;P;  33
2020-W31;CH021;_T;T;P; 173
2020-W31;CH040;_T;T;P; 186
2020-W31;CH070;_T;T;P;  59
2020-W32;CH;_T;T;P;1001
